Nuclide,T12
136Te,17.63
137Te,2.49
138Te,1.4
108I,0.036
109I,0.0000935
110I,0.65
111I,2.5
112I,3.34
113I,6.6
114I,2.1
115I,78
116I,2.91
117I,133.2
118I,822
119I,1146
120I,4896
121I,7632
122I,217.8
123I,47604.6
124I,360806.4
125I,5132764.8
126I,1117152
127I,STABLE
128I,1499.4
129I,4.95454E+14
130I,44496
131I,693377.28
132I,8262
133I,74988
134I,3150
135I,23688
136I,83.4
137I,24.5
138I,6.23
139I,2.28
140I,0.86
141I,0.43
142I,0.222
143I,0.13
109Xe,0.013
110Xe,0.093
111Xe,0.81
112Xe,2.7
113Xe,2.74
114Xe,10
115Xe,18
116Xe,59
117Xe,61
118Xe,228
119Xe,348
120Xe,2400
121Xe,2406
122Xe,72360
123Xe,7488
124Xe,5.05E+21
125Xe,60840
126Xe,STABLE
127Xe,3140294.4
128Xe,STABLE
129Xe,STABLE
130Xe,STABLE
131Xe,STABLE
132Xe,STABLE
133Xe,453384
135Xe,32904
137Xe,229.08
138Xe,848.4
139Xe,39.68
140Xe,13.6
141Xe,1.73
142Xe,1.23
143Xe,0.511
144Xe,0.388
145Xe,0.188
146Xe,0.146
147Xe,0.1
112Cs,0.00049
113Cs,0.0000177
114Cs,0.57
115Cs,1.4
116Cs,0.7
117Cs,8.4
118Cs,14
119Cs,43
120Cs,61.3
121Cs,155
122Cs,21.18
123Cs,352.8
124Cs,30.9
125Cs,2802
126Cs,98.4
127Cs,22500
128Cs,219.6
129Cs,115416
130Cs,1752.6
131Cs,837129.6
132Cs,559872
133Cs,STABLE
134Cs,65172755.52
135Cs,7.25825E+13
136Cs,1126656
137Cs,949252608
138Cs,2004.6
139Cs,556.2
140Cs,63.7
141Cs,24.84
142Cs,1.684
143Cs,1.791
144Cs,0.994
145Cs,0.587
146Cs,0.322
147Cs,0.23
148Cs,0.146
114Ba,0.43
115Ba,0.45
116Ba,1.3
117Ba,1.75
118Ba,5.5
119Ba,5.4
120Ba,24
121Ba,29.7
122Ba,117
123Ba,162
124Ba,660
125Ba,198
126Ba,6000
127Ba,762
128Ba,209952
129Ba,8028
130Ba,STABLE
131Ba,993600
133Ba,332964237.6
134Ba,STABLE
135Ba,STABLE
136Ba,STABLE
137Ba,STABLE
138Ba,STABLE
139Ba,4983.6
140Ba,1101833.28
141Ba,1096.2
142Ba,636
143Ba,14.5
144Ba,11.5
145Ba,4.31
146Ba,2.22
147Ba,0.894
148Ba,0.612
149Ba,0.344
150Ba,0.3
117La,0.0235
120La,2.8
121La,5.3
122La,8.6
123La,17
124La,29.21
125La,64.8
126La,54
127La,306
128La,310.8
129La,696
130La,522
131La,3540
132La,17280
133La,14083.2
134La,387
135La,70200
136La,592.2
137La,1.89346E+12
138La,3.21888E+18
139La,STABLE
140La,145026.72
141La,14112
142La,5466
143La,852
144La,40.8
145La,24.8
146La,6.27
147La,4.06
148La,1.26
149La,1.05
150La,0.59
121Ce,1.1
123Ce,3.8
124Ce,6
125Ce,9.7
126Ce,51
127Ce,34
128Ce,235.8
129Ce,210
130Ce,1374
131Ce,618
132Ce,12636
133Ce,5820
134Ce,273024
135Ce,63720
137Ce,32400
138Ce,2.84E+21
139Ce,11892182.4
140Ce,STABLE
141Ce,2808950.4
143Ce,118940.4
144Ce,24616224
145Ce,180.6
146Ce,809.4
147Ce,56.4
148Ce,56.8
149Ce,5.3
150Ce,4
151Ce,1.76
152Ce,1.4
121Pr,0.01
122Pr,0.5
123Pr,0.8
124Pr,1.2
125Pr,3.3
126Pr,3.14
127Pr,4.2
128Pr,2.85
129Pr,30
130Pr,40
131Pr,90.6
132Pr,96
133Pr,390
134Pr,660
135Pr,1440
136Pr,786
137Pr,4608
138Pr,87
139Pr,15876
140Pr,203.4
141Pr,STABLE
142Pr,68832
143Pr,1172448
144Pr,1036.8
145Pr,21542.4
146Pr,1449
147Pr,804
148Pr,137.4
149Pr,135.6
150Pr,6.19
151Pr,18.9
152Pr,3.57
153Pr,4.28
154Pr,2.3
125Nd,0.65
127Nd,1.8
128Nd,5
129Nd,6.7
130Nd,21
131Nd,25.4
132Nd,94
133Nd,70
134Nd,510
135Nd,744
136Nd,3039
137Nd,2310
138Nd,18144
139Nd,1782
140Nd,291168
141Nd,8964
142Nd,STABLE
143Nd,STABLE
144Nd,7.23E+22
145Nd,STABLE
146Nd,STABLE
147Nd,948672
148Nd,STABLE
149Nd,6220.8
150Nd,2.87E+26
151Nd,746.4
152Nd,684
153Nd,31.6
154Nd,25.9
155Nd,8.9
156Nd,5.06
128Pm,1
129Pm,2.4
130Pm,2.6
131Pm,6.3
132Pm,6.2
133Pm,13.5
134Pm,5
135Pm,49
136Pm,107
137Pm,144
138Pm,10
139Pm,249
140Pm,9.2
141Pm,1254
142Pm,40.5
143Pm,22896000
144Pm,31363200
145Pm,558569520
146Pm,174513528
147Pm,82788207.84
148Pm,463795.2
149Pm,191088
150Pm,9712.8
151Pm,102240
152Pm,247.2
153Pm,315
154Pm,160.8
155Pm,41.5
156Pm,26.7
157Pm,10.56
158Pm,4.8
159Pm,1.5
129Sm,0.55
131Sm,1.2
132Sm,4
133Sm,2.89
134Sm,9.5
135Sm,10.3
136Sm,47
137Sm,45
138Sm,186
139Sm,154.2
140Sm,889.2
